flux	loglam	ivar	and_mask	or_mask	wdisp	sky	model
208.69037	3.579	0.014554664	0	67108864	0.98462874	6.0534043	-110.46007
186.08589	3.5791	0.0	0	67108864	0.9844967	5.4123335	-110.224724
163.47697	3.5792	0.019449461	0	67108864	0.9843645	4.8782754	-109.92859
158.3632	3.5793	0.020617388	0	67108864	0.9842326	4.38775	-109.94245
182.75082	3.5794	0.024623895	0	0	0.9841007	4.2377496	-109.124886
199.02905	3.5795	0.022296697	0	0	0.9839686	3.9686322	-109.81125
235.37381	3.5796	0.019080285	0	0	0.9838366	3.7369156	-108.6795
265.26733	3.5797	0.01644238	0	0	0.9837045	3.5492525	-107.8802
278.92197	3.5798	0.0151585825	0	0	0.9835724	3.4149349	-115.71103
303.6512	3.5799	0.013894722	0	0	0.98344064	3.3251889	-81.04759
323.2289	3.58	0.01276684	0	0	0.98330843	3.266355	290.24216
326.25238	3.5801	0.012703092	0	0	0.98317635	3.2703574	387.6841
336.14474	3.5802	0.012323405	0	0	0.983044	3.262999	324.1861
340.83395	3.5803	0.012000187	0	0	0.98291194	3.2775636	370.227
364.95584	3.5804	0.011209025	0	0	0.98277974	3.3410618	355.0546
365.50595	3.5805	0.0110534765	0	0	0.98264754	3.4277623	376.48752
369.2306	3.5806	0.010860365	0	0	0.98251545	3.5282493	391.9767
380.20163	3.5807	0.010535485	0	0	0.9823834	3.6506822	403.4873
374.87222	3.5808	0.01059186	0	0	0.9822511	3.801887	408.82016
381.78168	3.5809	0.010467902	0	0	0.9821191	3.9604123	408.9497
398.05948	3.581	0.00991348	0	0	0.98198694	4.139186	416.55243
372.19077	3.5811	0.010776482	0	0	0.98185474	4.327459	417.4648
391.2106	3.5812	0.010228568	0	0	0.98172253	4.530166	406.29965
376.04327	3.5813	0.010557748	0	0	0.9815905	4.746321	414.72205
391.9799	3.5814	0.010174183	0	0	0.9814583	4.961659	434.56897
406.26846	3.5815	0.00972029	0	0	0.98132604	5.107864	436.6698
397.5247	3.5816	0.009954814	0	0	0.9811939	5.0586777	416.93085
391.04202	3.5817	0.010154058	0	0	0.98106164	4.703381	416.61304
382.3219	3.5818	0.010556419	0	0	0.9809293	4.0841527	414.70285
379.61252	3.5819	0.010762564	0	0	0.9807973	3.6084952	407.7277
378.9776	3.582	0.010796184	0	0	0.98066515	3.7374723	408.58
374.15546	3.5821	0.011087493	0	0	0.98053265	4.113366	411.84213
352.38058	3.5822	0.011944174	0	0	0.9804005	4.307758	392.43716
349.7617	3.5823	0.012370477	0	0	0.9802684	4.1777906	373.84326
341.95984	3.5824	0.012936831	0	0	0.980136	3.7347655	363.10754
323.7902	3.5825	0.013862359	0	0	0.98000383	3.2067194	355.77792
312.07388	3.5826	0.014648742	0	0	0.97987175	2.8922129	339.5671
300.92993	3.5827	0.015327419	0	0	0.9797396	2.7681584	316.65042
287.92493	3.5828	0.016183158	0	0	0.9796072	2.8572698	302.8907
274.82153	3.5829	0.017127113	0	0	0.97947496	3.408807	279.51324
265.29288	3.583	0.018078359	0	0	0.9793427	4.38401	261.33038
246.811	3.5831	0.019817052	0	0	0.9792105	5.583211	224.6344
218.91321	3.5832	0.023016483	0	0	0.97907805	6.593271	185.5193
188.95844	3.5833	0.026961535	0	0	0.97894585	6.977086	162.56636
162.88576	3.5834	0.03154453	0	0	0.9788137	6.8025427	140.04147
153.03506	3.5835	0.033770543	0	0	0.9786814	6.49386	121.1371
168.18399	3.5836	0.031734496	0	0	0.9785491	6.39821	137.5211
190.29413	3.5837	0.028002663	0	0	0.9784169	6.3710766	165.842
203.80351	3.5838	0.0256324	0	0	0.9782846	6.22417	193.70093
240.262	3.5839	0.021291273	0	0	0.97815233	5.990363	224.05379
262.62427	3.584	0.018954985	0	0	0.9780201	5.7211413	256.29083
273.83075	3.5841	0.01762481	0	0	0.97788763	5.3257065	278.9576
300.99838	3.5842	0.01584647	0	0	0.9777554	4.738848	304.3638
316.53384	3.5843	0.014628825	0	0	0.97762316	4.4252357	329.60715
323.74023	3.5844	0.014156167	0	0	0.9774909	4.707234	350.4676
342.3026	3.5845	0.013180742	0	0	0.9773584	5.36204	366.385
350.05597	3.5846	0.012770696	0	0	0.97722614	5.8711753	379.81177
359.353	3.5847	0.012387598	0	0	0.9770942	5.829082	394.3595
379.41486	3.5848	0.011561329	0	0	0.9769617	5.7361445	411.08423
369.5037	3.5849	0.011714304	0	0	0.9768294	6.042867	421.45087
